Lalibela'n eessatti argama?,"Lalibela'n naannoo Amaaraa keessatti argama
"
"Lalibela'n maaliin beekama?
",Manneen kiristaanaa dhagaa keessaan bocameen beekama
"Lalibela keessaa maaltu daawwatamuu danda’a?
",Manneen kiristaanaa seenaa qaban daawwatamuu danda’u
"Axum eessatti argama?
",Axum naannoo Tigraay keessatti argama
"Axum maaliin beekama?
",Obeliskii fi mootummaa duriitiinbeekama
Axum keessaa maaltu daawwatamuu danda’a?,Obeliskii Axum fi bakka mootummaa durii
Gondar naannoo kam keessatti argama?,Gondar naannoo Amaaraa kessatti argama
"Gondar maaliin beekama?
",Masaraa mootummaa durii qabaachuun beekama
"Gondar keessatti maal daawwatamuu danda’a?
",Masaraa Fasiladas daawwatamuu danda'a
"Harar eessatti argama?
",Harar naannoo Hararii keessatti argama
"Harar maal beekama?
",Dallaa durii fi aadaa adda ta’een beekama
"Harar keessatti maal daawwatamuu danda’a?
",Dallaa Harar fi masgiidaawwan
Gaarri Baalee eessatti argama?,Oromiyaa keessatti argama
Gaarri Baalee maaliin beekama?,Bosonaa fi bineensota addaa qabaachuun beekama
"Bale keessatti maal gochuun danda’ama?
",Hiking fi bineensota ilaaluun ni danda’ama
"Holqi Sof Omar eessatti argama?
",Oromiyaa keessatti argama
"Sof Omar maaliin beekama?
",Godoo guddaa Afrikaa keessaa tokko dha
"Sof Omar keessatti maaltu daawwatamuu danda’a?
",Godoo fi uumama adda addaa
Bishoftu eessa jira?,Oromiyaa keessatti argama
"Bishoftu'n maaliin beekama?
",Horaa bishaan keessaa bocameen beekama
"Bishoftu keessatti maaltu daawwatamuu danda’a?
",Hora Arsadi fi Hora Babogaya
"Langano eessatti argama?
",Oromiyaa keessatti argama
"Langano maaliin beekama?
",Haroo bashannanaa fi daawwannaa
"Langano keessatti maal gochuun danda’ama?
",Daakaa bishaanii fi bashannana
"Awash Park eessatti argama?
",Naannoo Affaar keessatti argama
"Awash Park keessatti maaltu argama?
",Bineensota fi bishaan dhangala’aa qaba
"Awash keessatti maal daawwatamuu danda’a?
",Bineensota fi laga Awash
"Simien Mountains eessatti argama?
",Naannoo Amaaraa keessatti argama
Simien maaliin beekama?,Tulluu fi bineensota addaa qaba
"Simien keessatti maal gochuun danda’ama?
",Hiking fi suuraa kaasuu
Addis Ababa eessatti argama?,"Magaalaa guddoo Itoophiyaa dha
"
Addis Ababa maaliin beekama?,Giddugala mootummaa fi diinagdee dha
"Addis Ababa keessatti maal daawwatamuu danda’a?
",Matxafkaa fi Merkato
"Entoto eessatti argama?
",Addis Ababa keessatti argama
Entoto maaliin beekama?,Tulluu fi bosona qaba
"Entoto keessatti maal gochuun danda’ama?
",Hiking fi bakka bashannanaa qaba
"Kuriftu Resort eessatti argama?
",Bishoftu keessatti argama
Kuriftu Resort maal qaba?,Bishaan qarqara fi bakka bashannanaa qaba
Kuriftu Resort keessatti kaffaltiin hammam?,Qarshii 1500 hanga Qarshii 4000  gidduu
Babogaya Resort eessatti argama?,Bishoftu keessatti argama
"Babogaya Resort maal qaba?
",Bishaan qarqara fi tajaajila gaarii qaba
